"","ASS.1","ASS.2","ASS.3","ASS.4","ASS.5","BET.1","BET.2","BET.3","BET.4","BET.5","ASPL.1","ASPL.2","ASPL.3","ASPL.4","ASPL.5","CC.1","CC.2","CC.3","CC.4","CC.5","DEG.1","DEG.2","DEG.3","DEG.4","DEG.5","MIN.1","MIN.2","MIN.3","MIN.4","MIN.5","MAX.1","MAX.2","MAX.3","MAX.4","MAX.5","SD.1","SD.2","SD.3","SD.4","SD.5","MT3.1","MT3.2","MT3.3","MT3.4","MT3.5","MT4.1","MT4.2","MT4.3","MT4.4","MT4.5","CLASS"
"35",0.0276950198,1,0,0,0,59.66667,0,0,0,0,3.130952,56.89474,56.96491,0,0,0.03947368,0,0,0,0,3.824561,0.24561404,0.10526316,0,0,3,1,1,0,0,22,22,22,0,0,2.071256,0.7387417,0.5569115,0,0,370,0,0,0,0,1625,0,0,0,0,"class_1"
"36",0.1641285956,-0.2105263,0,0,0,70.08475,0.03389831,0,0,0,3.416715,58.69608,58.9322,0,0,0.1037464,0,0,0,0,3.830508,0.54237288,0.20338983,0,0,1,1,1,0,0,24,24,24,0,0,2.134709,1.164445,0.7606635,0,0,323,2,0,0,0,1257,0,0,0,0,"class_1"
"37",0.2276907465,-0.106383,0,0,0,47.32653,0.02040816,0,0,0,2.971939,48.71514,48.95918,0,0,0.0859375,0,0,0,0,4.408163,0.53061224,0.12244898,0,0,2,1,1,0,0,16,16,19,0,0,2.235307,1.0428735,0.5997448,0,0,362,1,0,0,0,1648,0,0,0,0,"class_1"
"38",0.1169352187,-0.1093248,0,0,0,59.5,0.03571429,0,0,0,3.163636,55.67987,55.96429,0,0,0.07731959,0,0,0,0,4.142857,0.53571429,0.10714286,0,0,30,2,1,0,0,1,23,23,0,0,2.03093,1.1275764,0.561769,0,0,368,2,0,0,0,1564,0,0,0,0,"class_1"
"39",0.1472278677,1,0,0,0,66.57895,0,0,0,0,3.37782,56.85965,56.96491,0,0,0.11641791,0,0,0,0,3.824561,0.31578947,0.10526316,0,0,1,1,1,0,0,12,21,21,0,0,1.890982,0.8052926,0.5569115,0,0,309,0,0,0,0,1217,0,0,0,0,"class_1"
"40",-0.1797192379,0,0,0,0,57.9322,0,0,0,0,2.997662,58.9661,0,0,0,0.07725322,0,0,0,0,3.932203,0.06779661,0,0,0,1,1,0,0,0,12,12,0,0,0,2.455567,0.3650416,0,0,0,442,0,0,0,0,2172,0,0,0,0,"class_1"
"41",0.0909286098,1,0,0,0,57.12281,0,0,0,0,3.0401,56.89474,56.96491,0,0,0.03731343,0,0,0,0,4.070175,0.24561404,0.10526316,0,0,8,1,1,0,0,6,6,6,0,0,1.801385,0.7387417,0.5569115,0,0,392,0,0,0,0,1702,0,0,0,0,"class_1"
"42",-0.176866548,0,0,0,0,56.26316,0,0,0,0,3.009398,56.89474,0,0,0,0.07982262,0,0,0,0,4.070175,0.21052632,0,0,0,1,1,0,0,0,2,2,0,0,0,2.321173,0.6192404,0,0,0,427,0,0,0,0,1988,0,0,0,0,"class_1"
"43",-0.0298808103,-0.3333333,0,0,0,58.91379,0.01724138,0,0,0,3.067151,57.82819,0,0,0,0.09263658,0,0,0,0,4,0.27586207,0,0,0,5,1,0,0,0,10,26,0,0,0,2.043389,0.7901389,0,0,0,395,1,0,0,0,1851,0,0,0,0,"class_1"
"44",-0.039272552,1,0,0,0,43.11765,0,0,0,0,2.724706,50.84314,0,0,0,0.08823529,0,0,0,0,4.54902,0.47058824,0,0,0,51,5,0,0,0,3,3,0,0,0,2.707868,1.0267023,0,0,0,448,0,0,0,0,2372,0,0,0,0,"class_1"
"45",-0.0343014487,0,0,0,0,65.83333,0,0,0,0,3.231638,59.86667,0,0,0,0.03896104,0,0,0,0,3.833333,0.26666667,0,0,0,1,1,0,0,0,25,5,0,0,0,2.068051,0.6856067,0,0,0,375,0,0,0,0,1688,0,0,0,0,"class_1"
"46",-0.1300795002,0,0,0,0,63,0,0,0,0,3.172414,58.86441,0,0,0,0.06870229,0,0,0,0,3.898305,0.27118644,0,0,0,3,1,0,0,0,23,2,0,0,0,2.073602,0.6905897,0,0,0,375,0,0,0,0,1657,0,0,0,0,"class_1"
"47",-0.0859054608,0,0,0,0,53.21429,0,0,0,0,2.935065,55.96429,0,0,0,0.06696429,0,0,0,0,4.178571,0.07142857,0,0,0,1,1,0,0,0,2,7,0,0,0,2.05477,0.3745127,0,0,0,428,0,0,0,0,1996,0,0,0,0,"class_1"
"48",-0.0217396609,0.4666667,0,0,0,47.67925,0,0,0,0,2.833817,52.88679,0,0,0,0.09635974,0,0,0,0,4.377358,0.30188679,0,0,0,1,1,0,0,0,4,2,0,0,0,2.610824,0.9919853,0,0,0,437,0,0,0,0,2175,0,0,0,0,"class_1"
"49",0.040705272,0,0,0,0,54.46429,0,0,0,0,2.980519,55.96429,0,0,0,0.07371007,0,0,0,0,4.142857,0.07142857,0,0,0,11,1,0,0,0,2,21,0,0,0,1.891883,0.3745127,0,0,0,387,0,0,0,0,1682,0,0,0,0,"class_1"
"50",0.0051086997,-0.2,0,0,0,47.19231,0.01923077,0,0,0,2.850679,51.73152,0,0,0,0.07894737,0,0,0,0,4.423077,0.46153846,0,0,0,15,1,0,0,0,3,7,0,0,0,2.243476,0.9385332,0,0,0,432,1,0,0,0,2130,0,0,0,0,"class_1"
"51",-0.0366932166,0.09803922,0,0,0,45.05,0.01666667,0,0,0,2.527119,59.60056,59.96667,0,0,0.0899654,0,0,0,0,6.066667,0.76666667,0.1,0,0,27,1,1,0,0,9,9,4,0,0,2.090063,1.0949292,0.543061,0,0,815,1,0,0,0,4807,0,0,0,0,"class_2"
"52",-0.057538673,-0.2631579,0,0,0,49.84286,0.07142857,0,0,0,2.44472,69.43064,0,0,0,0.12815884,0,0,0,0,7.057143,0.85714286,0,0,0,36,1,0,0,0,16,61,0,0,0,3.698357,1.2543919,0,0,0,1520,5,0,0,0,12193,1,0,0,0,"class_2"
"53",-0.0028722586,0.1186441,0,0,0,40.33333,0.14285714,0,0,0,2.301075,62.40143,0,0,0,0.13697858,0,0,0,0,7.809524,0.82539683,0,0,0,7,2,0,0,0,36,22,0,0,0,3.834719,1.4203553,0,0,0,1612,5,0,0,0,13416,3,0,0,0,"class_2"
"54",-0.0673952862,-0.2962963,0,0,0,44.90323,0.06451613,0,0,0,2.472237,61.5505,0,0,0,0.0904936,0,0,0,0,6.354839,0.64516129,0,0,0,7,1,0,0,0,11,38,0,0,0,2.567749,1.1887005,0,0,0,1028,4,0,0,0,6927,1,0,0,0,"class_2"
"55",0.0564141906,-0.1111111,0,0,0,43.13333,0.01666667,0,0,0,2.462147,59.6339,0,0,0,0.12488437,0,0,0,0,6.333333,0.66666667,0,0,0,27,2,0,0,0,38,3,0,0,0,2.885773,1.0195823,0,0,0,991,1,0,0,0,6613,0,0,0,0,"class_2"
"56",-0.1011063748,-0.4583333,0,0,0,44.11111,0.12698413,0,0,0,2.422939,62.33743,0,0,0,0.10723192,0,0,0,0,6.634921,0.88888889,0,0,0,12,1,0,0,0,15,14,0,0,0,3.143357,1.3333333,0,0,0,1117,6,0,0,0,7739,1,0,0,0,"class_2"
"57",0.0360039673,-0.5,0,0,0,45.28125,0.078125,0,0,0,2.4375,63.37748,0,0,0,0.13006397,0,0,0,0,7.03125,0.9375,0,0,0,7,2,0,0,0,3,22,0,0,0,3.211926,1.283287,0,0,0,1285,5,0,0,0,9629,0,0,0,0,"class_2"
"58",0.0117272848,-0.2666667,0,0,0,48.53226,0.03225806,0,0,0,2.591222,61.64622,61.96774,0,0,0.07810651,0,0,0,0,5.870968,0.61290323,0.09677419,0,0,13,1,1,0,0,7,7,12,0,0,2.712955,1.1066837,0.5343811,0,0,801,2,0,0,0,4779,0,0,0,0,"class_2"
"59",0.0954715144,0.1139489,0,0,0,38.96721,2.85245902,0,0,0,2.298907,57.84918,0,0,0,0.15625,0.11538462,0,0,0,8.065574,1.44262295,0,0,0,6,2,0,0,0,3,3,0,0,0,4.150778,2.0698196,0,0,0,1548,24,0,0,0,12984,42,0,0,0,"class_2"
"60",-0.0879283498,-0.03960396,0,0,0,38.37097,0.30645161,0,0,0,2.258065,61.10682,0,0,0,0.12079327,0,0,0,0,7.935484,0.96774194,0,0,0,7,2,0,0,0,3,1,0,0,0,3.24351,1.4368424,0,0,0,1530,8,0,0,0,12226,5,0,0,0,"class_2"
"61",-0.0303632545,-0.2909091,0,0,0,43.52459,0.08196721,0,0,0,2.45082,60.44536,60.96721,0,0,0.12979592,0,0,0,0,6.754098,0.81967213,0.09836066,0,0,1,1,1,0,0,15,14,15,0,0,3.394386,1.3479391,0.5386687,0,0,1119,5,0,0,0,7985,1,0,0,0,"class_2"
"62",-0.231063107,0,0,0,0,47.53226,0,0,0,0,2.558435,61.87097,0,0,0,0.08232711,0,0,0,0,5.580645,0.25806452,0,0,0,9,1,0,0,0,4,4,0,0,0,2.633631,0.6759446,0,0,0,861,0,0,0,0,5351,0,0,0,0,"class_2"
"63",0.0294688399,-0.1291513,0,0,0,40.12903,0.46774194,0,0,0,2.315706,60.6605,61.90323,0,0,0.12797992,0.17647059,0,0,0,7.935484,1.4516129,0.29032258,0,0,6,1,1,0,0,11,11,11,0,0,3.775985,1.8963072,0.8941907,0,0,1458,15,0,0,0,11596,9,0,0,0,"class_2"
"64",0.0698935532,-0.2,0,0,0,102.4433,0.01030928,0,0,0,3.134235,96.85588,0,0,0,0.10382916,0,0,0,0,5.072165,0.24742268,0,0,0,5,1,0,0,0,11,11,0,0,0,3.23795,0.7221341,0,0,0,1264,1,0,0,0,8481,0,0,0,0,"class_2"
"65",-0.0600000996,0.0670194,0,0,0,49.65574,0.03278689,0,0,0,2.655191,60.57486,60.96721,0,0,0.10096154,0,0,0,0,5.639344,0.75409836,0.09836066,0,0,21,12,1,0,0,9,7,7,0,0,2.652249,1.1783567,0.5386687,0,0,776,2,0,0,0,4702,0,0,0,0,"class_2"
"66",0.0956331848,-0.1061873,0,0,0,49.35484,0.24193548,0,0,0,2.618191,61.20148,61.96774,0,0,0.13084112,0,0,0,0,5.870968,0.87096774,0.09677419,0,0,6,1,1,0,0,15,15,15,0,0,3.389878,1.5938804,0.5343811,0,0,879,9,0,0,0,5700,7,0,0,0,"class_2"
"67",0.0845665175,-0.2617187,0,0,0,43.03125,0.765625,0,0,0,2.366071,62.68056,0,0,0,0.15153337,0,0,0,0,7.6875,1.0625,0,0,0,5,1,0,0,0,20,22,0,0,0,4.054686,1.6317777,0,0,0,1495,13,0,0,0,11908,10,0,0,0,"class_2"
"68",-0.0786230236,-0.2631579,0,0,0,40.875,0.40625,0,0,0,2.297619,63.0129,0,0,0,0.1640884,0,0,0,0,7.71875,0.9375,0,0,0,20,1,0,0,0,14,14,0,0,0,4.08819,1.5105449,0,0,0,1612,10,0,0,0,13484,6,0,0,0,"class_2"
"69",0.0346207376,0.2424242,0,0,0,53.12698,0.01587302,0,0,0,2.713774,62.68305,62.93651,0,0,0.11111111,0,0,0,0,5.68254,0.63492063,0.19047619,0,0,8,1,1,0,0,11,6,5,0,0,3.036474,1.1259632,0.7374136,0,0,775,1,0,0,0,4652,0,0,0,0,"class_2"
"70",0.0614152053,0.2767296,0,0,0,39.73333,0.18333333,0,0,0,2.346893,59.30621,59.93333,0,0,0.16120577,0,0,0,0,7.766667,1,0.2,0,0,28,4,1,0,0,9,9,9,0,0,3.841639,1.3529629,0.7546466,0,0,1362,4,0,0,0,10527,2,0,0,0,"class_2"
"71",0.0120397968,0.1555556,0,0,0,40.74603,0.55555556,0,0,0,2.314388,61.77983,0,0,0,0.1239521,0,0,0,0,7.809524,1.20634921,0,0,0,6,2,0,0,0,3,16,0,0,0,3.78391,1.5043885,0,0,0,1532,10,0,0,0,12620,6,0,0,0,"class_2"
"72",0.0601680615,0.1520737,0,0,0,45.48387,0.72580645,0,0,0,2.491274,60.95928,61.96774,0,0,0.09823009,0,0,0,0,6.387097,0.74193548,0.09677419,0,0,7,1,1,0,0,60,60,39,0,0,3.210407,1.4478416,0.5343811,0,0,1056,8,0,0,0,7418,8,0,0,0,"class_2"
"73",-0.0727151712,-0.3168317,0,0,0,37.23333,0.38333333,0,0,0,2.262147,58.84633,0,0,0,0.11852332,0,0,0,0,8.033333,1.26666667,0,0,0,48,2,0,0,0,10,6,0,0,0,3.439386,1.5608197,0,0,0,1422,11,0,0,0,11305,5,0,0,0,"class_2"
"74",-0.0697910437,-0.2039801,0,0,0,41.01613,1.25806452,0,0,0,2.344791,60.04125,0,0,0,0.12687585,0,0,0,0,7.483871,1.41935484,0,0,0,16,3,0,0,0,19,1,0,0,0,3.895108,1.7883813,0,0,0,1342,18,0,0,0,10501,16,0,0,0,"class_2"
"75",0.0564976105,-0.1294867,0,0,0,39.53333,4,0,0,0,2.340113,56.30226,59.96667,0,0,0.12317328,0,0,0,0,7.6,1.36666667,0.1,0,0,1,1,1,0,0,31,31,17,0,0,3.906535,2.2167824,0.543061,0,0,1319,26,0,0,0,10256,45,0,0,0,"class_2"
"76",0.0378864567,-0.2444444,0,0,0,39.98413,0.11111111,0,0,0,2.289811,62.36866,0,0,0,0.12454874,0,0,0,0,7.809524,0.88888889,0,0,0,62,3,0,0,0,33,23,0,0,0,3.397614,1.2840349,0,0,0,1524,5,0,0,0,12185,1,0,0,0,"class_2"
