,ASS.1,ASS.2,ASS.3,BET.1,BET.2,BET.3,ASPL.1,ASPL.2,ASPL.3,ASPL.4,CC.1,CC.2,DEG.1,DEG.2,DEG.3,DEG.4,MIN.1,MIN.2,MIN.3,MIN.4,MAX.1,MAX.2,MAX.3,MAX.4,SD.1,SD.2,SD.3,SD.4,MT3.1,MT3.2,MT3.3,MT4.1,MT4.2,MT4.3,CLASS
44,0.3579006634272383,0.5,0.5,0.5094149262339546,0.0,0.0,0.4914178676940828,0.6181005221366013,0.0,0.0,0.2168109715888381,0.0,0.19929465694347465,0.16153846363535504,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.4,0.078125,0.0,0.0,0.2491917900480588,0.26103216577025307,0.0,0.0,0.16191709844559588,0.0,0.0,0.09691971523225489,0.0,0.0,class_1
45,0.20587924466238955,0.5,0.5,0.4714474160979574,0.0,0.0,0.46152413420279426,0.6077525701072563,0.0,0.0,0.38231551943372444,0.0,0.21112845053655688,0.1642764012328252,0.0,0.0,0.03225806451612903,0.08333333333333333,0.0,0.0,0.36666666666666664,0.03125,0.0,0.0,0.2507759614616272,0.2629293515504287,0.0,0.0,0.16191709844559588,0.0,0.0,0.09473461619792768,0.0,0.0,class_1
46,0.2759934309189593,0.5,0.5,0.3403158346680045,0.0,0.0,0.34172054527898155,0.5778099378168884,0.0,0.0,0.3726438713303524,0.0,0.26217520906575104,0.04326922992464867,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.016666666666666666,0.109375,0.0,0.0,0.2454015935891143,0.14258883582885792,0.0,0.0,0.19624352331606215,0.0,0.0,0.11862973144427999,0.0,0.0,class_1
47,0.3778390603111942,0.73333335,0.5,0.26614456365363304,0.0,0.0,0.2906149001262397,0.5460359247161866,0.0,0.0,0.5362241062211847,0.0,0.2983816414826083,0.18287372864561238,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.05,0.03125,0.0,0.0,0.4040909921119622,0.3776801937193061,0.0,0.0,0.20207253886010362,0.0,0.0,0.131246916190879,0.0,0.0,class_1
48,0.47695328476515253,0.5,0.5,0.3570662264931701,0.0,0.0,0.3646637737355709,0.5778099378168884,0.0,0.0,0.41018288763804217,0.0,0.2556703746080871,0.04326922992464867,0.0,0.0,0.16129032258064518,0.08333333333333333,0.0,0.0,0.016666666666666666,0.328125,0.0,0.0,0.19891610826360429,0.14258883582885792,0.0,0.0,0.16968911917098445,0.0,0.0,0.09649679283851414,0.0,0.0,class_1
49,0.4204534777690631,0.4,0.5,0.2596194150173561,0.0048076925,0.0,0.299126114061977,0.5341082028267153,0.0,0.0,0.4393274921327431,0.0,0.30670875484347354,0.2795857980190316,0.0,0.0,0.22580645161290325,0.08333333333333333,0.0,0.0,0.03333333333333334,0.109375,0.0,0.0,0.2992554308740767,0.35732928783118084,0.0,0.0,0.1988341968911917,0.034482758620689655,0.0,0.12807499823782337,0.0,0.0,class_1
50,0.3541043871006707,0.54901961,0.5,0.2309117894885797,0.0041666675,0.0,0.13580691224444763,0.6153530379363649,0.8958231439058385,0.0,0.5006407884229593,0.0,0.6060670139651587,0.464423079165588,0.2449999971825,0.0,0.41935483870967744,0.08333333333333333,0.5,0.0,0.13333333333333333,0.140625,0.06557377049180328,0.0,0.25547368180728525,0.4168741939673147,0.37847108028672205,0.0,0.44689119170984454,0.034482758620689655,0.0,0.31676887291182076,0.0,0.0,class_2
51,0.32101793559013025,0.36842105,0.5,0.29513761585911025,0.0178571425,0.0,0.09421543335162208,0.7168448626970298,0.0,0.0,0.7131802081797212,0.0,0.7864691647824613,0.5192307712111686,0.0,0.0,0.564516129032258,0.08333333333333333,0.0,0.0,0.25,0.953125,0.0,0.0,0.71445645597653,0.47758668983494856,0.0,0.0,0.903497409326425,0.1724137931034483,0.0,0.8373863396066822,0.018867924528301886,0.0,class_2
52,0.4077858928175244,0.55932205,0.5,0.1677069330005767,0.035714285,0.0,0.021709602145419504,0.6442709518513486,0.0,0.0,0.7622604277673127,0.0,0.9235054489873011,0.5000000030288462,0.0,0.0,0.0967741935483871,0.16666666666666666,0.0,0.0,0.5833333333333333,0.34375,0.0,0.0,0.7533721076243424,0.5407742078982856,0.0,0.0,0.9630829015544041,0.1724137931034483,0.0,0.9235920208641715,0.05660377358490566,0.0,class_2
53,0.30537326231255435,0.35185184999999997,0.5,0.2289450254820361,0.0161290325,0.0,0.10810483400810922,0.6354854243232316,0.0,0.0,0.5035801235945364,0.0,0.6585537462083668,0.3908188585532783,0.0,0.0,0.0967741935483871,0.08333333333333333,0.0,0.0,0.16666666666666666,0.59375,0.0,0.0,0.39179803883517317,0.45257589514102275,0.0,0.0,0.5848445595854923,0.13793103448275862,0.0,0.4662014520335519,0.018867924528301886,0.0,class_2
54,0.5018868896509601,0.44444445,0.5,0.2052278106889477,0.0041666675,0.0,0.10301183503932809,0.6156972607135467,0.0,0.0,0.6949583890974148,0.0,0.6546367117163883,0.40384615605954144,0.0,0.0,0.41935483870967744,0.16666666666666666,0.0,0.0,0.6166666666666666,0.046875,0.0,0.0,0.4825572767434162,0.3881872448883826,0.0,0.0,0.5608808290155441,0.034482758620689655,0.0,0.4440685134277861,0.0,0.0,class_2
55,0.251866144169944,0.27083335,0.5,0.21833036918399595,0.0317460325,0.0,0.08322131932396859,0.6436101762742747,0.0,0.0,0.5967257742744176,0.0,0.7095669915623297,0.5384615393934912,0.0,0.0,0.1774193548387097,0.08333333333333333,0.0,0.0,0.23333333333333334,0.21875,0.0,0.0,0.5560678531066997,0.5076421788068852,0.0,0.0,0.6424870466321244,0.20689655172413793,0.0,0.5234369493197998,0.018867924528301886,0.0,class_2
56,0.4694912514564059,0.25,0.5,0.2340106119762354,0.01953125,0.0,0.09057108721142404,0.6543482956326451,0.0,0.0,0.7237819037787875,0.0,0.7817530960527674,0.5679086541191869,0.0,0.0,0.0967741935483871,0.16666666666666666,0.0,0.0,0.03333333333333334,0.34375,0.0,0.0,0.5756364082601797,0.4885879687506127,0.0,0.0,0.7512953367875649,0.1724137931034483,0.0,0.6566575033481357,0.0,0.0,class_2
57,0.4309586684819676,0.36666665,0.5,0.27757516503826063,0.008064515,0.0,0.1681633555443276,0.6364736967956928,0.925716496639543,0.0,0.434648261969221,0.0,0.5704230200543572,0.3712779183515759,0.2370967627733872,0.0,0.1935483870967742,0.08333333333333333,0.5,0.0,0.1,0.109375,0.19672131147540983,0.0,0.4332376342735814,0.4213495040722866,0.37242186826490364,0.0,0.43782383419689125,0.06896551724137931,0.0,0.3147952350743639,0.0,0.0,class_2
58,0.5638796915950891,0.55697445,0.5,0.14940049677642064,0.713114755,0.0,0.020615288789193498,0.5972707077773698,0.0,0.0,0.8695023107893411,0.6538461734615382,0.9701415822371431,0.8738965951316812,0.0,0.0,0.08064516129032258,0.16666666666666666,0.0,0.0,0.03333333333333334,0.046875,0.0,0.0,0.8435705642629651,0.7880458183120423,0.0,0.0,0.9216321243523317,0.8275862068965517,0.0,0.8931416085148376,0.7924528301886792,0.0,class_2
59,0.2727826487933299,0.48019802,0.5,0.14141069387895122,0.0766129025,0.0,0.0,0.6309045976351668,0.0,0.0,0.672192175313925,0.0,0.9464474030749797,0.5862282908587636,0.0,0.0,0.0967741935483871,0.16666666666666666,0.0,0.0,0.03333333333333334,0.015625,0.0,0.0,0.5846500039953882,0.5470513685798698,0.0,0.0,0.9099740932642488,0.27586206896551724,0.0,0.8397124127722564,0.09433962264150943,0.0,class_2
60,0.36415146786812314,0.35454545000000004,0.5,0.21047081733335915,0.0204918025,0.0,0.09729445155871508,0.6240752755537403,0.9107698949661117,0.0,0.7222902551745822,0.0,0.7312735115869984,0.49653215591179434,0.24098361422868841,0.0,0.0,0.08333333333333333,0.5,0.0,0.23333333333333334,0.21875,0.24590163934426232,0.0,0.6277077316468991,0.5132030690473207,0.37540999041662754,0.0,0.6437823834196892,0.1724137931034483,0.0,0.5407767674631705,0.018867924528301886,0.0,class_2
61,0.04559543289860957,0.5,0.5,0.26417485157812814,0.0,0.0,0.1516138850597455,0.6387941547792452,0.0,0.0,0.4581351192678929,0.0,0.5175445115072224,0.15632754584438827,0.0,0.0,0.12903225806451613,0.08333333333333333,0.0,0.0,0.05,0.0625,0.0,0.0,0.4105997648428671,0.25735349855639883,0.0,0.0,0.47668393782383417,0.0,0.0,0.35511383661098195,0.0,0.0,class_2
